match_key,date,result,opponent,sets_played,aces,aces_per_set,ace_pct,serve_att,serve_err,serve_pct,points
SR_08-29_MARET_1,08/29,W 3-2,Maret,5,14,2.8,42.4,33,2,93.9,24
SR_09-03_DCI_1,09/03,W 3-0,DC International,3,6,2,33.3,18,2,88.9,12
SR_09-05_CL_1,09/05,L 0-3,Covenant Life,3,0,0,0,6,0,100,1
SR_09-07_BIHS_1,09/07,L 0-2,Bishop Ireton,2,0,0,0,7,1,85.7,3
SR_09-07_HIGHLAND_2,09/07,W 2-1,Highland,3,2,0.7,18.2,11,1,90.9,13
SR_09-07_EPISCOPAL_3,09/07,L 1-2,Episcopal,3,3,1,23.1,13,1,92.3,9
SR_09-10_SAA_1,09/10,W 3-0,Spencerville Adventist Academy,3,5,1.7,31.3,16,3,81.2,10
SR_09-12_BIHS_1,09/12,L 0-3,Bishop Ireton,3,0,0,0,9,0,100,3
SR_09-14_SCA_1,09/14,W 2-0,Shalom Christian Academy,2,0,0,0,6,1,83.3,2
SR_09-14_MSD_2,09/14,T 1-1,Maryland School for the Deaf,2,2,1,22.2,9,2,77.8,5
SR_09-14_SJCP_3,09/14,L 0-2,St. John's Catholic Prep,2,1,0.5,12.5,8,1,87.5,4
SR_09-14_MSD_4,09/14,W 2-1,Maryland School for the Deaf,3,1,0.3,11.1,9,1,88.9,3
SR_09-14_NL_5,09/14,W 2-0,New Life Christian School,2,3,1.5,30,10,1,90,8
SR_09-17_WCA_1,09/17,W 3-1,Washington Christian Academy,4,8,2,30.8,26,3,88.5,19
SR_09-19_BURKE_1,09/19,W 3-0,Burke,3,14,4.7,53.8,26,2,92.3,22
SR_09-21_DCI_1,09/21,L 1-2,DC International,3,1,0.3,12.5,8,1,87.5,4
SR_09-21_SWW_2,09/21,W 2-0,School Without Walls,2,4,2,36.4,11,0,100,9
SR_09-21_KAA_3,09/21,W 2-0,King Abdullah Academy,2,4,2,50,8,2,75,6
SR_09-21_BULLIS_4,09/21,W 2-0,Bullis,2,6,3,54.5,11,0,100,9
SR_09-21_BULLIS_5,09/21,L 0-2,Bullis,2,0,0,0,5,1,80,1
SR_09-24_FIELD_1,09/24,W 3-0,Field,3,5,1.7,22.7,22,1,95.5,16
SR_09-25_SJDS_1,09/25,W 3-0,Smith Jewish Day School,3,4,1.3,23.5,17,0,100,12
SR_09-27_GTD_1,09/27,L 1-3,Georgetown Day,4,3,0.8,23.1,13,1,92.3,6
SR_09-30_SSFS_1,09/30,W 3-0,Sandy Spring Friends,3,7,2.3,41.2,17,1,94.1,14
SR_10-04_ISD_1,10/04,W 2-0,Indiana School for the Deaf,2,3,1.5,37.5,8,0,100,5
SR_10-04_CSDF_2,10/04,W 2-0,California School for the Deaf,2,4,2,57.1,7,0,100,5
SR_10-04_TSD_3,10/04,L 0-2,Texas School for the Deaf,2,1,0.5,14.3,7,0,100,4
SR_10-04_CSDR_4,10/04,W 2-1,California School for the Deaf-Riverside,3,3,1,23.1,13,0,100,8
SR_10-05_ISD_1,10/05,W 2-0,Indiana School for the Deaf,2,0,0,0,6,0,100,3
SR_10-05_TSD_2,10/05,L 0-2,Texas School for the Deaf,2,1,0.5,16.7,6,0,100,2
SR_10-08_OAKCREST_1,10/08,W 3-0,Oakcrest,3,3,1,30,10,2,80,4
SR_10-10_BHA_1,10/10,W 3-0,Berman Hebrew Academy,3,4,1.3,36.4,11,2,81.8,7
SR_10-12_ROOSEVELT_1,10/12,L 1-2,Roosevelt,2,2,1,22.2,9,0,100,6
SR_10-12_MACA_3,10/12,W 2-0,Mount Airy Christian Academy,2,2,1,28.6,7,2,71.4,4
SR_10-12_PA_2,10/12,L 0-2,Princess Anne,2,1,0.5,33.3,3,0,100,1
SR_10-12_KAA_4,10/12,W 2-0,King Abdullah Academy,2,0,0,0,7,0,100,3
SR_10-12_MACA_5,10/12,W 2-0,Mount Airy Christian Academy,2,1,0.5,12.5,8,0,100,3
SR_10-15_WIS_1,10/15,W 3-0,Washington International,3,1,0.3,5.9,17,1,94.1,11
SR_10-17_BARRIE_1,10/17,W 3-0,Barrie,3,1,0.3,16.7,6,2,66.7,3
SR_10-18_KAA_1,10/18,W 3-1,King Abdullah Academy,4,7,1.8,43.8,16,0,100,9
SR_10-21_MCLEAN_1,10/21,W,McLean,,,,,,,,
SR_10-23_BHA_1,10/23,W 3-0,Berman Hebrew Academy,3,7,2.3,50,14,1,92.9,10
SR_10-28_SSFS_1,10/28,W 3-0,Sandy Spring Friends,3,9,3,52.9,17,1,94.1,12
SR_10-30_WIS_1,10/30,W 3-0,Washington International,3,5,1.7,33.3,15,3,80,9
SR_11-05_BELL_1,11/05,W 3-0,Bell,3,4,1.3,44.4,9,3,66.7,5
SR_11-06_SJ_1,11/06,L 0-3,St. John's,3,1,0.3,11.1,9,1,88.9,3
