match_key,career_match_index,career_stage,season,season_match_number,date,day_of_week,week_of_season,days_since_last_match,match_no,total_matches_that_day,total_sets_that_day,multi_game_day,first_match_of_day,last_match_of_day,same_day_opponent_num,opponent,opponent_slug,season_opponent_num,is_repeat_opponent,deaf_school,match_type,event_name,milestone_flag,result,set_scores,set_result,was_set_swept,swept_opponent,set_count,set_diff,comeback_win,win_streak,loss_streak,total_points_for,total_points_against,margin_pct,high_margin_win,low_margin_loss,location,did_play,maxpreps
FR_09-01_TA_1,1,early,FR,1,2016-09-01,Thursday,1,0,1,1,3,False,,,1,Takoma Academy,TA,1,False,False,regular,,first MSSD match; first FR match,W,"25-22,25-19,25-13",3-0,False,True,3,3,False,1,0,75,54,0.16279069767441862,False,False,away,True,https://www.maxpreps.com/games/09-01-2016/volleyball-16/model-secondary-school-for-the-deaf-vs-takoma-academy.htm?c=RvM_PsTPpUqW-rKrugJlqw#tab=box-score&schoolid=
FR_09-09_RCSA_1,2,early,FR,2,2016-09-09,Friday,2,8,1,3,6,True,True,False,1,River City Science Academy,RCSA,1,False,False,regular,FSDB Invitational 2016,,W,"25-11,25-19",2-0,False,True,2,2,False,2,0,50,30,0.25,False,False,neutral,True,https://www.maxpreps.com/games/09-09-2016/volleyball-16/model-secondary-school-for-the-deaf-vs-river-city-science-academy.htm?c=pi9qfk1i5EmrOFHajdNXlA#tab=box-score&schoolid=
FR_09-09_INTERLACHEN_2,3,early,FR,3,2016-09-09,Friday,2,0,2,3,6,True,False,False,1,Interlachen,INTERLACHEN,1,False,False,regular,FSDB Invitational 2016,,W,"25-14,25-19",2-0,False,True,2,2,False,3,0,50,33,0.20481927710843373,False,False,neutral,True,https://www.maxpreps.com/games/09-09-2016/volleyball-16/interlachen-vs-model-secondary-school-for-the-deaf.htm?c=kA1J5gUZYkGHUe9qPJ2ZFQ#tab=box-score&schoolid=
FR_09-09_FSDB_3,4,early,FR,4,2016-09-09,Friday,2,0,3,3,6,True,False,True,1,Florida School for the Deaf & Blind,FSDB,1,False,True,regular,FSDB Invitational 2016,,W,"26-24,25-14",2-0,False,True,2,2,False,4,0,51,38,0.14606741573033707,False,False,away,True,https://www.maxpreps.com/games/09-09-2016/volleyball-16/florida-school-for-the-deaf-and-blind-vs-model-secondary-school-for-the-deaf.htm?c=57jGU_XGx064Xen13AMNDQ#tab=box-score&schoolid=
FR_09-17_AIDB_1,5,early,FR,5,2016-09-17,Saturday,3,8,1,1,3,False,,,1,Alabama School for the Deaf,AIDB,1,False,True,regular,,,W,"25-21,25-13,25-11",3-0,False,True,3,3,False,5,0,75,45,0.25,False,False,home,True,https://www.maxpreps.com/games/09-17-2016/volleyball-16/alabama-school-for-the-deaf-vs-model-secondary-school-for-the-deaf.htm?c=kXOQNahMc02EHVChPD9akw#tab=box-score&schoolid=
FR_09-20_SJDS_1,6,early,FR,6,2016-09-20,Tuesday,3,3,1,1,3,False,,,1,Smith Jewish Day School,SJDS,1,False,False,conference,,,W,"25-8,25-18,25-11",3-0,False,True,3,3,False,6,0,75,37,0.3392857142857143,False,False,home,True,https://www.maxpreps.com/games/09-20-2016/volleyball-16/model-secondary-school-for-the-deaf-vs-smith-jewish-day-school.htm?c=7PNjdNdlz0CeKtt37FNG9Q
FR_09-22_RB_1,7,early,FR,7,2016-09-22,Thursday,4,2,1,1,3,False,,,1,Riverdale Baptist,RB,1,False,False,regular,,,W,"25-16,25-12,25-22",3-0,False,True,3,3,False,7,0,75,50,0.2,False,False,away,True,https://www.maxpreps.com/games/09-22-2016/volleyball-16/model-secondary-school-for-the-deaf-vs-riverdale-baptist.htm?c=nxuukkNYG0GZqKd8l3qQdw#tab=box-score&schoolid=
FR_09-24_CSHC_1,,,FR,8,2016-09-24,Saturday,4,2,1,5,9,True,True,False,1,Connelly School of the Holy Child,CSHC,1,False,False,opponent forfeit,Model Invitational 2016,,W,,0,False,False,0,0,False,8,0,0,0,,False,False,home,False,https://www.maxpreps.com/games/09-24-2016/volleyball-16/connelly-school-of-the-holy-child-vs-model-secondary-school-for-the-deaf.htm?c=jBxjGiIWW0u7_teU_JgZVg#tab=matchup&schoolid=
FR_09-24_ISA_2,11,early,FR,9,2016-09-24,Saturday,4,0,2,5,9,True,False,False,1,Islamic Saudi Academy,ISA,1,False,False,regular,Model Invitational 2016,,L,"20-25,17-25",0-2,True,False,2,-2,False,0,1,37,50,-0.14942528735632185,False,False,home,True,https://www.maxpreps.com/games/09-24-2016/volleyball-16/islamic-saudi-academy-vs-model-secondary-school-for-the-deaf.htm?c=vIP1JGBVT0OrNQn3k7Vbug#tab=box-score&schoolid=
FR_09-24_SIDWELL_3,10,early,FR,10,2016-09-24,Saturday,4,0,3,5,9,True,False,False,1,Sidwell Friends,SIDWELL,1,False,False,regular,Model Invitational 2016,,W,"25-20,25-22",2-0,False,True,2,2,False,1,0,50,42,0.08695652173913043,False,False,home,True,https://www.maxpreps.com/games/09-24-2016/volleyball-16/model-secondary-school-for-the-deaf-vs-sidwell-friends.htm?c=JEvBgo21gkC-Z8s4LWkp1A#tab=box-score&schoolid=
