date,opponent,result,set_scores,set_result,set_count,set_diff,location,is_conference,is_playoffs,is_tournament,maxpreps
09/01/2016,Takoma Academy,W,"25-22,25-19,25-13",3-0,3,3,away,False,False,False,https://www.maxpreps.com/games/09-01-2016/volleyball-16/model-secondary-school-for-the-deaf-vs-takoma-academy.htm?c=RvM_PsTPpUqW-rKrugJlqw#tab=box-score&schoolid=
09/09/2016,River City Science Academy,W,"25-11,25-19",2-0,2,2,neutral,False,False,True,https://www.maxpreps.com/games/09-09-2016/volleyball-16/model-secondary-school-for-the-deaf-vs-river-city-science-academy.htm?c=pi9qfk1i5EmrOFHajdNXlA#tab=box-score&schoolid=
09/09/2016,Interlachen,W,"25-14,25-19",2-0,2,2,neutral,False,False,True,https://www.maxpreps.com/games/09-09-2016/volleyball-16/interlachen-vs-model-secondary-school-for-the-deaf.htm?c=kA1J5gUZYkGHUe9qPJ2ZFQ#tab=box-score&schoolid=
09/09/2016,Florida School for the Deaf & Blind,W,"26-24,25-14",2-0,2,2,away,False,False,True,https://www.maxpreps.com/games/09-09-2016/volleyball-16/florida-school-for-the-deaf-and-blind-vs-model-secondary-school-for-the-deaf.htm?c=57jGU_XGx064Xen13AMNDQ#tab=box-score&schoolid=
09/17/2016,Alabama School for the Deaf,W,"25-21,25-13,25-11",3-0,3,3,home,False,False,False,https://www.maxpreps.com/games/09-17-2016/volleyball-16/alabama-school-for-the-deaf-vs-model-secondary-school-for-the-deaf.htm?c=kXOQNahMc02EHVChPD9akw#tab=box-score&schoolid=
09/20/2016,Smith Jewish Day School,W,"25-8,25-18,25-11",3-0,3,3,home,True,False,False,https://www.maxpreps.com/games/09-20-2016/volleyball-16/model-secondary-school-for-the-deaf-vs-smith-jewish-day-school.htm?c=7PNjdNdlz0CeKtt37FNG9Q
09/22/2016,Riverdale Baptist,W,"25-16,25-12,25-22",3-0,3,3,away,False,False,False,https://www.maxpreps.com/games/09-22-2016/volleyball-16/model-secondary-school-for-the-deaf-vs-riverdale-baptist.htm?c=nxuukkNYG0GZqKd8l3qQdw#tab=box-score&schoolid=
09/24/2016,Connelly School of the Holy Child,W,NA,0,0,0,home,False,False,True,https://www.maxpreps.com/games/09-24-2016/volleyball-16/connelly-school-of-the-holy-child-vs-model-secondary-school-for-the-deaf.htm?c=jBxjGiIWW0u7_teU_JgZVg#tab=matchup&schoolid=
09/24/2016,Islamic Saudi Academy,L,"20-25,17-25",0-2,2,-2,home,False,False,True,https://www.maxpreps.com/games/09-24-2016/volleyball-16/islamic-saudi-academy-vs-model-secondary-school-for-the-deaf.htm?c=vIP1JGBVT0OrNQn3k7Vbug#tab=box-score&schoolid=
09/24/2016,Sidwell Friends,W,"25-20,25-22",2-0,2,2,home,False,False,True,https://www.maxpreps.com/games/09-24-2016/volleyball-16/model-secondary-school-for-the-deaf-vs-sidwell-friends.htm?c=JEvBgo21gkC-Z8s4LWkp1A#tab=box-score&schoolid=
