date,opponent,result,set_scores,set_result,set_count,set_diff,h_a_n,is_conference,is_playoffs,is_tournament,maxpreps
08/29,Maret,W,"27-25,20-25,25-23,15-25,16-14",3-2,5,1,away,False,False,False,https://www.maxpreps.com/games/08-29-2019/volleyball-19/maret-vs-model-secondary-school-for-the-deaf.htm?c=ZWSY1lY28Ui5v0UQkdb80w
09/03,DC International,W,"25-16,25-19,25-16",3-0,3,3,home,False,False,False,https://www.maxpreps.com/games/09-03-2019/volleyball-19/dc-international-vs-model-secondary-school-for-the-deaf.htm?c=vnGUQ0iSNE-oyNlMWcmh9w
09/05,Covenant Life,L,"18-25,23-25,9-25",0-3,3,-3,away,False,False,False,https://www.maxpreps.com/games/09-05-2019/volleyball-19/covenant-life-vs-model-secondary-school-for-the-deaf.htm?c=XppDyalKBEaO1F5pxy-NzA
09/07,Bishop Ireton,L,"20-25,14-25",0-2,2,-2,neutral,False,False,True,https://www.maxpreps.com/games/09-07-2019/volleyball-19/bishop-ireton-vs-model-secondary-school-for-the-deaf.htm?c=2i4PtaWEmUuMlDlVE65NRg
09/07,Highland,W,"25-19,25-27,15-12",2-1,3,1,neutral,False,False,True,https://www.maxpreps.com/games/09-07-2019/volleyball-19/highland-vs-model-secondary-school-for-the-deaf.htm?c=X8J5gh-oIUy5sRyoxk1a1A
09/07,Episcopal,L,"21-25,27-25,0-15",1-2,3,-1,neutral,False,False,True,https://www.maxpreps.com/games/09-07-2019/volleyball-19/episcopal-vs-model-secondary-school-for-the-deaf.htm?c=z7WUjmSlxE2k__PRNpRWFg
09/10,Spencerville Adventist Academy,W,"25-21,25-19,25-14",3-0,3,3,home,True,False,False,https://www.maxpreps.com/games/09-10-2019/volleyball-19/model-secondary-school-for-the-deaf-vs-spencerville-adventist-academy.htm?c=EtNkqAr_CkSDH8Kt_dbdwA
09/12,Bishop Ireton,L,"11-25,13-25,17-25",0-3,3,-3,away,False,False,False,https://www.maxpreps.com/games/09-12-2019/volleyball-19/bishop-ireton-vs-model-secondary-school-for-the-deaf.htm?c=HZy5AnNr9Uaasgc2r4pO2Q
09/14,Shalom Christian Academy,W,"26-24,25-21",2-0,2,2,neutral,False,False,True,https://www.maxpreps.com/games/09-14-2019/volleyball-19/model-secondary-school-for-the-deaf-vs-shalom-christian-academy.htm?c=yv6lm6GTPESUIYsRe0GjYg
09/14,Maryland School for the Deaf,T,"27-26,24-26",1-1,2,0,away,False,False,True,https://www.maxpreps.com/games/09-14-2019/volleyball-19/maryland-school-for-the-deaf-vs-model-secondary-school-for-the-deaf.htm?c=JZy_Ujt1k0WRjGKfk_TTCg
09/14,St. John's Catholic Prep,L,"18-25,16-25",0-2,2,-2,neutral,False,False,True,https://www.maxpreps.com/games/09-14-2019/volleyball-19/model-secondary-school-for-the-deaf-vs-st-johns-catholic-prep.htm?c=zz-mVFyWi0eZ5kSQmFtHqg
09/14,Maryland School for the Deaf,W,"25-18,17-25,18-16",2-1,3,1,away,False,False,True,https://www.maxpreps.com/games/09-14-2019/volleyball-19/maryland-school-for-the-deaf-vs-model-secondary-school-for-the-deaf.htm?c=6yBlF3an7kquIU0xy9I1Sg
09/14,New Life Christian School,W,"25-12,25-15",2-0,2,2,away,False,False,False,https://www.maxpreps.com/games/09-14-2019/volleyball-19/model-secondary-school-for-the-deaf-vs-varsity-opponent.htm?c=zTlurXAekU6DPGK1hKcfnw
09/17,Washington Christian Academy,W,"25-17,23-25,25-8,25-22",3-1,4,2,away,True,False,False,https://www.maxpreps.com/games/09-17-2019/volleyball-19/model-secondary-school-for-the-deaf-vs-washington-christian-academy.htm?c=axNdllYxWEurhP6yIAESJA
