date,opponent,result,set_scores,set_result,set_count,set_diff,h_a_n,is_conference,is_playoffs,is_tournament,maxpreps
08/29,Spencerville Adventist Academy,W,"25-18,25-5,25-12",3-0,3,3,home,False,False,False,https://www.maxpreps.com/games/08-29-2017/volleyball-17/model-secondary-school-for-the-deaf-vs-spencerville-adventist-academy.htm?c=EysMl__wXEWyKfHgNVfpEQ#tab=box-score&schoolid=
09/05,Maret,L,"19-25,14-25,18-25",0-3,3,-3,away,False,False,False,https://www.maxpreps.com/games/09-05-2017/volleyball-17/maret-vs-model-secondary-school-for-the-deaf.htm?c=cnUwxUF910qvo_byQLATdQ#tab=box-score&schoolid=
09/07,Brookewood,W,"25-8,25-16,25-6",3-0,3,3,home,False,False,False,https://www.maxpreps.com/games/09-07-2017/volleyball-17/brookewood-vs-model-secondary-school-for-the-deaf.htm?c=6TewSwa2p0eGwUFJqfNdbA#tab=box-score&schoolid=
09/09,Atlanta Area School for the Deaf,W,"25-6,25-10,25-9",3-0,3,3,neutral,False,False,False,https://www.maxpreps.com/games/09-09-2017/volleyball-17/atlanta-area-school-for-the-deaf-vs-model-secondary-school-for-the-deaf.htm?c=NGJtcTostUS-zUwoR-XM_g#tab=box-score&schoolid=
09/09,Alabama School for the Deaf,W,"25-13,25-9,25-10",3-0,3,3,away,False,False,False,https://www.maxpreps.com/games/09-09-2017/volleyball-17/alabama-school-for-the-deaf-vs-model-secondary-school-for-the-deaf.htm?c=Ed5SCbZmm0yep11pUl3Caw#tab=box-score&schoolid=
09/12,Washington Christian Academy,W,"25-8,25-11,25-12",3-0,3,3,away,True,False,False,https://www.maxpreps.com/games/09-12-2017/volleyball-17/model-secondary-school-for-the-deaf-vs-washington-christian-academy.htm?c=mujWv8l3TkaJ3JtoMOy_Eg#tab=box-score&schoolid=
09/14,McLean,W,"25-8,25-10,25-12",3-0,3,3,home,True,False,False,https://www.maxpreps.com/games/09-14-2017/volleyball-17/mclean-vs-model-secondary-school-for-the-deaf.htm?c=a9ksnSw3I025jlIEVO8hMw#tab=box-score&schoolid=
09/16,Friends,W,"25-15,25-17,25-8",3-0,3,3,home,False,False,False,https://www.maxpreps.com/games/09-16-2017/volleyball-17/friends-vs-model-secondary-school-for-the-deaf.htm?c=sOtrffr4_kOXt-grb9UdRA#tab=box-score&schoolid=
09/18,Berman Hebrew Academy,W,"25-10,25-6,25-9",3-0,3,3,home,True,False,False,https://www.maxpreps.com/games/09-18-2017/volleyball-17/berman-hebrew-academy-vs-model-secondary-school-for-the-deaf.htm?c=p1PM8dzkQkagnlgqSuigBA#tab=box-score&schoolid=
09/19,Bishop O'Connell,L,"23-25,12-25,16-25",0-3,3,-3,away,False,False,False,https://www.maxpreps.com/games/09-19-2017/volleyball-17/bishop-oconnell-vs-model-secondary-school-for-the-deaf.htm?c=uXQAlUqtb0ycWUXwSNnzlw#tab=box-score&schoolid=
09/21,Grace Christian Academy,W,"25-20,25-16,25-11",3-0,3,3,away,False,False,False,https://www.maxpreps.com/games/09-21-2017/volleyball-17/grace-christian-academy-vs-model-secondary-school-for-the-deaf.htm?c=6iQcV7vUBku93iL_EBh5cg#tab=box-score&schoolid=
09/23,Sidwell Friends,L,"25-14,21-25,15-13",1-2,3,-1,home,False,False,True,https://www.maxpreps.com/games/09-23-2017/volleyball-17/model-secondary-school-for-the-deaf-vs-sidwell-friends.htm?c=RHS_XupWN0aw0EUBp_7UvQ#tab=box-score&schoolid=
09/23,King Abdullah Academy,W,"25-22,16-25,15-12",2-1,3,1,home,False,False,True,https://www.maxpreps.com/games/09-23-2017/volleyball-17/king-abdullah-academy-vs-model-secondary-school-for-the-deaf.htm?c=98zdz76AtE2OsGyZS2GxxA
09/23,E.L. Haynes,W,"25-7,25-14",2-0,2,2,home,False,False,True,https://www.maxpreps.com/games/09-23-2017/volleyball-17/el-haynes-vs-model-secondary-school-for-the-deaf.htm?c=cynbtw0G0UG9n-coKiZarQ
09/23,Jackson-Reed,L,"8-25,19-25",0-2,2,-2,home,False,False,True,https://www.maxpreps.com/games/09-23-2017/volleyball-17/jackson-reed-vs-model-secondary-school-for-the-deaf.htm?c=x_o0b4vbv0qqMUYXQm1IBw
09/26,Covenant Life,L,"25-20,21-25,18-25,5-25",1-3,4,-2,away,False,False,False,https://www.maxpreps.com/games/09-26-2017/volleyball-17/covenant-life-vs-model-secondary-school-for-the-deaf.htm?c=MH9f-mHZHUO8KB0Yr88X_Q
09/28,Smith Jewish Day School,W,"25-11,25-9,25-18",3-0,3,3,away,True,False,False,https://www.maxpreps.com/games/09-28-2017/volleyball-17/model-secondary-school-for-the-deaf-vs-smith-jewish-day-school.htm?c=dlMsvqtOiU2j73ldjH2LDA
10/03,Washington International,L,"27-29,25-21,16-25,24-26",1-3,4,-2,away,True,False,False,https://www.maxpreps.com/games/10-03-2017/volleyball-17/model-secondary-school-for-the-deaf-vs-washington-international.htm?c=jrstwNpaT0GWB17JC1LkMQ
10/06,Texas School for the Deaf,L,"13-25,10-25",0-2,2,-2,neutral,False,False,True,https://www.maxpreps.com/games/10-06-2017/volleyball-17/model-secondary-school-for-the-deaf-vs-texas-school-for-the-deaf.htm?c=gxcwFT9oGkmglyPAEnMJeQ
10/06,Maryland School for the Deaf,L,"21-25,19-25",0-2,2,-2,neutral,False,False,True,https://www.maxpreps.com/games/10-06-2017/volleyball-17/maryland-school-for-the-deaf-vs-model-secondary-school-for-the-deaf.htm?c=Mf8qEjwq6k-qnIN5HvixWw
10/06,California School for the Deaf-Riverside,W,"20-25,25-20,15-7",2-1,3,1,neutral,False,False,True,https://www.maxpreps.com/games/10-06-2017/volleyball-17/california-school-for-the-deaf-riverside-vs-model-secondary-school-for-the-deaf.htm?c=00ZR6rrHq0Kljg4epxysZQ
10/06,California School for the Deaf,L,"25-19,25-20,9-15",1-2,3,-1,neutral,False,False,True,https://www.maxpreps.com/games/10-06-2017/volleyball-17/california-school-for-the-deaf-vs-model-secondary-school-for-the-deaf.htm?c=bdN5cNz-DU6SN0Ncuha9aA
10/07,California School for the Deaf-Riverside,L,"25-20,19-25,9-15",1-2,3,-1,neutral,False,False,True,https://www.maxpreps.com/games/10-07-2017/volleyball-17/california-school-for-the-deaf-riverside-vs-model-secondary-school-for-the-deaf.htm?c=paUazO1QJkO9ZedkCKvkeg#tab=box-score&schoolid=
10/07,Indiana School for the Deaf,L,"14-25,17-25",0-2,2,-2,neutral,False,False,True,https://www.maxpreps.com/games/10-07-2017/volleyball-17/indiana-school-for-the-deaf-vs-model-secondary-school-for-the-deaf.htm?c=BX9GBKTUVU6seVpehhWDvw#tab=box-score&schoolid=
10/07,California School for the Deaf,L,"17-25,25-21,10-15",1-2,3,-1,neutral,False,False,True,https://www.maxpreps.com/games/10-07-2017/volleyball-17/california-school-for-the-deaf-vs-model-secondary-school-for-the-deaf.htm?c=CIFqlGLbYUSJTqp2kWgLpQ#tab=box-score&schoolid=
10/10,Burke,W,"25-13,25-13,26-24",3-0,3,3,home,True,False,False,https://www.maxpreps.com/games/10-10-2017/volleyball-17/burke-vs-model-secondary-school-for-the-deaf.htm?c=qRN855amgEGJuhLVyPzHdg#tab=box-score&schoolid=
10/12,Clinton Grace Christian,W,"25-8,26-24,25-16",3-0,3,3,away,False,False,False,https://www.maxpreps.com/games/10-12-2017/volleyball-17/clinton-grace-christian-vs-model-secondary-school-for-the-deaf.htm?c=y9w5ED6PvUiDFWFn1eR4IQ#tab=box-score&schoolid=
10/14,Bell,W,"25-8,25-18,25-15",3-0,3,3,home,False,False,False,https://www.maxpreps.com/games/10-14-2017/volleyball-17/bell-vs-model-secondary-school-for-the-deaf.htm?c=c9OwnbMPjUCLQC3kcrOvDQ#tab=box-score&schoolid=
10/17,Field,W,"25-4,25-18,25-15",3-0,3,3,home,True,False,False,https://www.maxpreps.com/games/10-17-2017/volleyball-17/field-vs-model-secondary-school-for-the-deaf.htm?c=8w7Gs_HmcUyUJ_S9f3kqHw#tab=box-score&schoolid=
10/18,Bishop Ireton,L,"13-25,9-25,24-26",0-3,3,-3,away,False,False,False,https://www.maxpreps.com/games/10-18-2017/volleyball-17/bishop-ireton-vs-model-secondary-school-for-the-deaf.htm?c=ewkFjQ4ws0izvro7VJS3Mw#tab=box-score&schoolid=
10/20,King Abdullah Academy,L,"15-25,12-25,14-25",0-3,3,-3,away,False,False,False,https://www.maxpreps.com/games/10-20-2017/volleyball-17/king-abdullah-academy-vs-model-secondary-school-for-the-deaf.htm?c=TKdaUiuchkKoNHv-qxDIgw#tab=box-score&schoolid=
10/23,Washington Christian Academy,W,"25-13,25-12,25-16",3-0,3,3,home,True,True,True,https://www.maxpreps.com/games/10-23-2017/volleyball-17/model-secondary-school-for-the-deaf-vs-washington-christian-academy.htm?c=TqhVQMTbjkSmgW_8cVZouA#tab=box-score&schoolid=
